"_id","amount","balance","description","group","name","ref_id","transaction_date","type"
"5c7f85298d9166396db0e833",-444,17997,"Approved order 5c7f4a759e44fa06907aaf8b","TA","intrepidtours","00048442","2019-03-06 15:30:33","withdraw"
"5c7f82af9e44fa06907ab0d4",-434,18441,"Approved order 5c7f4f5f8d9166396db0e6f3","TA","intrepidtours","00048441","2019-03-06 15:19:59","withdraw"
"5c7f82a58d9166396db0e82b",-124,18875,"Approved order 5c7f53919e44fa06907aafb2","TA","intrepidtours","00048440","2019-03-06 15:19:49","withdraw"
"5c7f82979e44fa06907ab0d1",-259,18999,"Approved order 5c7f74ad8d9166396db0e7b6","TA","intrepidtours","00048439","2019-03-06 15:19:35","withdraw"
"5c7f826d8d9166396db0e827",-372,19258,"Approved order 5c7f758a9e44fa06907ab06c","TA","intrepidtours","00048438","2019-03-06 15:18:53","withdraw"
"5c7f81ee8d9166396db0e823",-558,19630,"Approved order 5c7f786c9e44fa06907ab07e","TA","intrepidtours","00048437","2019-03-06 15:16:46","withdraw"
"5c7f786c9e44fa06907ab07f",0,20188,"Make an order for an approval","TA","intrepidtours","5c7f786c9e44fa06907ab07e","2019-03-06 14:36:12","tentative"
"5c7f758a9e44fa06907ab06d",0,20188,"Make an order for an approval","TA","intrepidtours","5c7f758a9e44fa06907ab06c","2019-03-06 14:23:54","tentative"
"5c7f74ad8d9166396db0e7b7",0,20188,"Make an order for an approval","TA","intrepidtours","5c7f74ad8d9166396db0e7b6","2019-03-06 14:20:13","tentative"
"5c7f53919e44fa06907aafb3",0,20188,"Make an order for an approval","TA","intrepidtours","5c7f53919e44fa06907aafb2","2019-03-06 11:58:57","tentative"
"5c7f4f5f8d9166396db0e6f4",0,20188,"Make an order for an approval","TA","intrepidtours","5c7f4f5f8d9166396db0e6f3","2019-03-06 11:41:03","tentative"
"5c7f4dac8d9166396db0e6e6",62,20188,"Cancel order","TA","intrepidtours","00047950","2019-03-06 11:33:48","refund"
"5c7f4b8f9e44fa06907aaf8d",0,20126,"Final settlement","TA","intrepidtours","00048182","2019-03-06 11:24:47","confirmed"
"5c7f4a759e44fa06907aaf8c",0,20126,"Make an order for an approval","TA","intrepidtours","5c7f4a759e44fa06907aaf8b","2019-03-06 11:20:05","tentative"
"5c7f46408d9166396db0e6c5",0,20126,"Make an order for an approval","TA","intrepidtours","5c7f46408d9166396db0e6c4","2019-03-06 11:02:08","tentative"
"5c7f461d8d9166396db0e6c3",0,20126,"Make an order for an approval","TA","intrepidtours","5c7f461d8d9166396db0e6c2","2019-03-06 11:01:33","tentative"
"5c7f20e28d9166396db0e5b1",0,20126,"Final settlement","TA","intrepidtours","00047572","2019-03-06 08:22:42","confirmed"
"5c7f18cc9e44fa06907aae19",0,20126,"Final settlement","TA","intrepidtours","00048270","2019-03-06 07:48:12","confirmed"
"5c7e52ad9e44fa06907aaceb",-186,20126,"Approved order 5c7e52a19e44fa06907aace9","TA","intrepidtours","00048272","2019-03-05 17:42:53","withdraw"
"5c7e52a19e44fa06907aacea",0,20312,"Make an order for an approval","TA","intrepidtours","5c7e52a19e44fa06907aace9","2019-03-05 17:42:41","tentative"
"5c7e52958d9166396db0e424",-74,20312,"Approved order 5c7e52828d9166396db0e422","TA","intrepidtours","00048271","2019-03-05 17:42:29","withdraw"
"5c7e52828d9166396db0e423",0,20386,"Make an order for an approval","TA","intrepidtours","5c7e52828d9166396db0e422","2019-03-05 17:42:10","tentative"
"5c7e52678d9166396db0e41f",-37,20386,"Approved order 5c7e52399e44fa06907aace6","TA","intrepidtours","00048270","2019-03-05 17:41:43","withdraw"
"5c7e52399e44fa06907aace7",0,20423,"Make an order for an approval","TA","intrepidtours","5c7e52399e44fa06907aace6","2019-03-05 17:40:57","tentative"
"5c7e09b59e44fa06907aaa57",0,20423,"Final settlement","TA","intrepidtours","00047569","2019-03-05 12:31:33","confirmed"
"5c7df1818d9166396db0e223",-124,20423,"Approved order 5c7df11a8d9166396db0e21a","TA","intrepidtours","00048183","2019-03-05 10:48:17","withdraw"
"5c7df1789e44fa06907aa9d9",-124,20547,"Approved order 5c7df1578d9166396db0e21d","TA","intrepidtours","00048182","2019-03-05 10:48:08","withdraw"
"5c7df1578d9166396db0e21e",0,20671,"Make an order for an approval","TA","intrepidtours","5c7df1578d9166396db0e21d","2019-03-05 10:47:35","tentative"
"5c7df11a8d9166396db0e21b",0,20671,"Make an order for an approval","TA","intrepidtours","5c7df11a8d9166396db0e21a","2019-03-05 10:46:34","tentative"
"5c7dea308d9166396db0e208",-868,20671,"Approved order 5c7de7fa8d9166396db0e11c","TA","intrepidtours","00048178","2019-03-05 10:17:04","withdraw"
"5c7de7fa8d9166396db0e11d",0,21539,"Make an order for an approval","TA","intrepidtours","5c7de7fa8d9166396db0e11c","2019-03-05 10:07:38","tentative"
"5c7dd0198d9166396db0e057",0,21539,"Final settlement","TA","intrepidtours","00048070","2019-03-05 08:25:45","confirmed"
"5c7dcb1e9e44fa06907aa5c2",-74,21539,"Update an order","TA","intrepidtours","00048070","2019-03-05 08:04:30","extra"
"5c7d007d9e44fa06907aa459",-148,21613,"Approved order 5c7d00609e44fa06907aa455","TA","intrepidtours","00048070","2019-03-04 17:39:57","withdraw"
"5c7d00609e44fa06907aa456",0,21761,"Make an order for an approval","TA","intrepidtours","5c7d00609e44fa06907aa455","2019-03-04 17:39:28","tentative"
"5c7cf7549e44fa06907aa42d",-407,21761,"Approved order 5c7c9c7d8d9166396db0dc99","TA","intrepidtours","00048061","2019-03-04 17:00:52","withdraw"
"5c7cf7359e44fa06907aa42a",-744,22168,"Approved order 5c7cda508d9166396db0dd80","TA","intrepidtours","00048060","2019-03-04 17:00:21","withdraw"
"5c7cf6a78d9166396db0de0e",-930,22912,"Approved order 5c7cdac39e44fa06907aa37d","TA","intrepidtours","00048059","2019-03-04 16:57:59","withdraw"
"5c7cf6979e44fa06907aa427",-333,23842,"Approved order 5c7cdae59e44fa06907aa37f","TA","intrepidtours","00048058","2019-03-04 16:57:43","withdraw"
"5c7cf64f9e44fa06907aa424",-930,24175,"Approved order 5c7cdaed8d9166396db0dd83","TA","intrepidtours","00048057","2019-03-04 16:56:31","withdraw"
